date,weight
2022/1/10,98
2022/1/11,98.3
2022/1/12,100
2022/1/13,98
2022/1/14,100
2022/1/15,98.7
2022/1/16,
2022/1/17,
2022/1/18,
2022/1/19,
2022/1/20,
2022/1/21,
2022/1/22,
2022/1/23,
2022/1/24,
2022/1/25,
2022/1/26,
2022/1/27,
2022/1/28,
2022/1/29,
2022/1/30,
2022/1/31,
2022/2/1,
2022/2/2,
2022/2/3,
2022/2/4,
2022/2/5,
2022/2/6,
2022/2/7,
2022/2/8,
2022/2/9,
2022/2/10,
2022/2/11,
2022/2/12,
2022/2/13,
2022/2/14,
2022/2/15,
2022/2/16,
2022/2/17,
2022/2/18,
2022/2/19,
2022/2/20,
2022/2/21,
2022/2/22,
2022/2/23,
2022/2/24,
2022/2/25,97
2022/2/26,96.3
2022/2/27,96.9
2022/2/28,95.9
2022/3/1,95.5
2022/3/2,95.7
2022/3/3,95.7
2022/3/4,95.7
2022/3/5,96.9
2022/3/6,95.7
2022/3/7,95.6
2022/3/8,
2022/3/9,
2022/3/10,
2022/3/11,
2022/3/12,
2022/3/13,
2022/3/14,
2022/3/15,
2022/3/16,
2022/3/17,
2022/3/18,95
2022/3/19,95
2022/3/20,94.6
2022/3/21,94.1
2022/3/22,94.6
2022/3/23,94.6
2022/3/24,94.2
2022/3/25,94.1
2022/3/26,95.6
2022/3/27,95.2
2022/3/28,95.4
2022/3/29,94
2022/3/30,94.1
2022/3/31,94
2022/4/1,93.4
2022/4/2,94
2022/4/3,94
2022/4/4,94.7
2022/4/5,94.6
2022/4/6,94.1
2022/4/7,93.5
2022/4/8,94.2
2022/4/9,95.1
2022/4/10,94.3
2022/4/11,94.8
2022/4/12,93
2022/4/13,93.7
2022/4/14,93.8
2022/4/15,93.5
2022/4/16,93
2022/4/17,92.8
2022/4/18,92
2022/4/19,92.1
2022/4/20,92.4
2022/4/21,92.7
2022/4/22,93
2022/4/23,91.9
2022/4/24,92
2022/4/25,91.4
2022/4/26,91.4
2022/4/27,91.7
2022/4/28,92.4
2022/4/29,92.7
2022/4/30,92.1
2022/5/1,91.5
2022/5/2,91.8
2022/5/3,92.6
2022/5/4,91.7
2022/5/5,92.3
2022/5/6,92.4
2022/5/7,92.3
2022/5/8,92
2022/5/9,92.1
2022/5/10,92.2
2022/5/11,92
2022/5/12,92.1
2022/5/13,92
2022/5/14,91.6
2022/5/15,91.6
2022/5/16,91.2
2022/5/17,90.5
2022/5/18,90.4
2022/5/19,90.4
2022/5/20,91
2022/5/21,90.4
2022/5/22,90.9
2022/5/23,90.8
2022/5/24,90.1
2022/5/25,89.7
2022/5/26,89.6
2022/5/27,90.5
2022/5/28,89.6
2022/5/29,89.4
2022/5/30,89.5
2022/5/31,89.6
2022/6/1,89.4
2022/6/2,89.3
2022/6/3,88.9
